id,name,album_group,album_type,release_date,popularity
1,You Make Me Feel Brand New,NULL,compilation,2007-10-09 00:00:00.0000000,0
10,Eyes Open - Live,NULL,album,2007-01-01 00:00:00.0000000,0
100,Le retour du dernier de la classe,NULL,album,2012-10-22 00:00:00.0000000,42
1000,Come Over (Instrumental Version),NULL,album,2012-06-01 00:00:00.0000000,0
1001,Can't Stop Now,NULL,album,2012-06-14 00:00:00.0000000,35
584,Polka Medley (Folge 1): Nimm dir Zeit für Fröhlichkeit / I komm heut Nacht auf a Bussel zu dir / Wir kommen von den Bergen / Bergvagabunden / Heut will i lustig sein / Ohne Musig geht nix,NULL,album,2005-04-29 00:00:00.0000000,0
1002,Lezgi,NULL,album,1994-08-16 00:00:00.0000000,5
1003,Last Night,NULL,album,2006-01-01 00:00:00.0000000,0
1004,"Spaceship (feat. Kelis, apl.de.ap & Jean-Baptiste) - Pance Party Remix",NULL,single,2010-08-13 00:00:00.0000000,0
1005,Werkk,NULL,single,2013-04-22 00:00:00.0000000,0
1006,Desert Kid,NULL,compilation,2014-03-03 00:00:00.0000000,0
1007,Gypsy,NULL,album,2008-12-31 00:00:00.0000000,0
1008,Bout It Bout It,NULL,album,2013-09-20 00:00:00.0000000,0
1009,I Will Be Waiting,NULL,album,2007-01-01 00:00:00.0000000,0
101,Won't Be The Same - Monoverse Radio Edit,NULL,compilation,2015-08-17 00:00:00.0000000,0
1010,Nobody Does It Better,NULL,album,1998-01-01 00:00:00.0000000,0
1011,Ms. Bird Live From Superdrome - Album Version (Edited),NULL,album,2002-01-01 00:00:00.0000000,0
1012,손발이 오글오글 Hands And Feet Are Ogeul-Ogeul,NULL,album,2009-06-25 00:00:00.0000000,0
1013,Hesitation Blues,NULL,album,2013-10-15 00:00:00.0000000,0
1014,Huelga De Estrellas,NULL,album,2012-11-12 00:00:00.0000000,0
1015,Filia Sion,NULL,album,2012-05-25 00:00:00.0000000,27
1016,Live At Billy Bob's Texas,NULL,album,2005-06-14 00:00:00.0000000,0
1017,Off On,NULL,album,2014-10-07 00:00:00.0000000,0
1018,What Ever Happened To?,NULL,compilation,2011-05-30 00:00:00.0000000,0
1019,Chemical X - Original Mix,NULL,compilation,2011-09-03 00:00:00.0000000,0
102,Steels Drums - Original mix,NULL,album,2016-01-30 00:00:00.0000000,0
1020,Night and Day - Unique Duet Lounge Mix,NULL,compilation,2013-06-03 00:00:00.0000000,0
1021,The Rifles EP,NULL,single,2008-12-12 00:00:00.0000000,0
1022,Esto No Es Moda,NULL,album,2016-04-08 00:00:00.0000000,0
1023,It's the Most Wonderful Time of the Year (Professional Backing Track) - In the Style of Andy Williams,NULL,album,2012-12-05 00:00:00.0000000,0
1024,You Can't Go Home Again,NULL,album,2002-02-04 00:00:00.0000000,0
1025,Cada Dia Te Quiero Mas,NULL,album,2015-09-09 00:00:00.0000000,0
1026,"Белые кораблики (из сказки ""Площадь картонных часов"")",NULL,album,2015-05-21 00:00:00.0000000,0
1027,Nyabinghi Chant,NULL,album,2001-01-01 00:00:00.0000000,0
1028,A Mi Madre,NULL,album,2015-06-15 00:00:00.0000000,0
1029,The Joy of Sunsets,NULL,album,2017-04-27 00:00:00.0000000,0
103,Blurred Lines (Originally Performed by Robin Thicke Feat. T.I and Pharrell) [Karaoke Version],NULL,single,2013-07-11 00:00:00.0000000,0
1030,The Problem of Evil - Acoustic,NULL,single,2017-07-07 00:00:00.0000000,0
1031,Under The Same Sky - Beat Service Radio Edit,NULL,compilation,2012-08-27 00:00:00.0000000,0
1032,Show Me Light,NULL,compilation,2007-01-05 00:00:00.0000000,0
1033,Emborraches,NULL,album,2016-08-04 00:00:00.0000000,0
1034,Glagolitic Mass: Intrada,NULL,album,2009-01-01 00:00:00.0000000,0
1035,"Il Trovatore / Act 3: ""Quale d'armi fragor""",NULL,album,2001-01-01 00:00:00.0000000,0
1036,Jesus Loves Me - Artist: Peggy Duquesnel,NULL,compilation,2007-07-06 00:00:00.0000000,0
1037,"When It's Sleepy Time Down South, Pt. 1",NULL,compilation,2006-06-01 00:00:00.0000000,0
1038,La Chiflera - En Vivo,NULL,album,2017-09-04 00:00:00.0000000,0
1039,Deutschland - Radio Mix,NULL,album,2001-09-28 00:00:00.0000000,0
104,Who What When Where,NULL,compilation,2015-08-21 00:00:00.0000000,0
1040,Llego Con Tres Heridas,NULL,album,2017-04-07 00:00:00.0000000,0
1041,Live Like We're Dying (Made Famous by Kris Allen),NULL,album,2011-03-01 00:00:00.0000000,0
1042,Death of the Rockstar,NULL,single,2014-06-17 00:00:00.0000000,2
1043,Tango Caliente,NULL,album,2012-03-13 00:00:00.0000000,0
1044,Gruppenreise (Rashad Becker Remix),NULL,compilation,2010-05-28 00:00:00.0000000,0
1045,Midnight Sky,NULL,single,2020-08-14 00:00:00.0000000,75
1046,Lovers and Leavers,NULL,album,2016-04-08 00:00:00.0000000,47
1047,Raindrops,NULL,single,2010-01-01 00:00:00.0000000,0
1048,Jubilee Stomp,NULL,album,2010-02-04 00:00:00.0000000,0
1049,The Council,NULL,album,2010-01-01 00:00:00.0000000,0
105,"Chamber Concerto in A Minor, RV 108: I. Allegro",NULL,album,2016-02-05 00:00:00.0000000,0
1050,"Plündern, Rauben, Morden",NULL,album,2008-04-18 00:00:00.0000000,0
1051,Gun Powder,NULL,single,2016-12-16 00:00:00.0000000,0
1052,Romaria,NULL,album,2014-09-23 00:00:00.0000000,0
1053,Titanium,NULL,compilation,2015-10-05 00:00:00.0000000,0
1054,Pote tin Kyriaki (Never on Sunday): Main Theme (arr. R. Shaw for orchestra),NULL,album,2013-11-19 00:00:00.0000000,0
1055,"7 Minuets, K.65a: No.6 in G Major",NULL,album,2000-01-01 00:00:00.0000000,0
1056,I'll Be a Writer,NULL,album,2015-10-09 00:00:00.0000000,0
1057,Mystic Indian Hitmakers,NULL,album,2010-05-08 00:00:00.0000000,1
1058,Want to Want Me (Lullaby Rendition),NULL,album,2015-08-12 00:00:00.0000000,0
1059,There and Back,NULL,album,2008-01-01 00:00:00.0000000,0
106,Something For The Weekend,NULL,single,2011-01-01 00:00:00.0000000,0
1060,ぼくらのバロム1 (超人バロム・1) - LIVE,NULL,album,2005-04-06 00:00:00.0000000,0
1061,So Many Memories,NULL,album,2014-05-12 00:00:00.0000000,0
1062,Lucky Number 7,NULL,single,2021-02-12 00:00:00.0000000,39
1063,Avalon,NULL,album,2012-03-06 00:00:00.0000000,0
1064,"Quran,Short Sura`s, Vol. 1",NULL,album,2014-01-01 00:00:00.0000000,25
1065,My Last Affair,NULL,compilation,2011-11-14 00:00:00.0000000,0
1066,Burn,NULL,album,2013-08-26 00:00:00.0000000,0
1067,Embrace the Moment,NULL,single,2015-11-07 00:00:00.0000000,0
1068,The Music of Astor Piazzolla,NULL,compilation,2011-10-04 00:00:00.0000000,1
1069,Macarena,NULL,compilation,2013-10-18 00:00:00.0000000,0
107,Bailando Hits 2014,NULL,compilation,2014-09-19 00:00:00.0000000,0
1070,Polar AC,NULL,album,1975-01-01 00:00:00.0000000,8
1071,Bernard & Louise,NULL,album,1997-01-01 00:00:00.0000000,39
1072,Wheel Of Time,NULL,album,2010-11-01 00:00:00.0000000,0
1073,Dos Cantores,NULL,album,2007-03-30 00:00:00.0000000,0
1074,The Third Three Years,NULL,compilation,2014-11-24 00:00:00.0000000,18
1075,Plus One,NULL,single,2011-12-04 00:00:00.0000000,0
1076,"Aoi Shiori -Galileo Galilei- (From ""Ao Hana"")",NULL,album,2016-09-29 00:00:00.0000000,0
1077,Feel,NULL,album,2013-11-05 00:00:00.0000000,0
1078,"Chapter 6 - Live at Ekko, Utrecht 13.04.08",NULL,album,2004-01-01 00:00:00.0000000,0
1079,Set,NULL,album,1990-01-01 00:00:00.0000000,0
