genre_name,artist_id
east coast hip hop,1263
gangster rap,1263
hardcore hip hop,1263
hip hop,1263
rap,1263
classical performance,1578
german orchestra,1578
orchestra,1578
american modern classical,459
classical,459
early modern classical,459
tin pan alley,459
classical,350
italian opera,350
italian romanticism,350
late romantic era,350
classical organ,1653
classical,396
classical era,396
early music,396
early romantic era,396
german romanticism,396
british orchestra,840
orchestra,840
classical,1708
early modern classical,1708
neoclassicism,1708
russian modern classical,1708
classical performance,1777
violin,1777
austrian orchestra,1
classical,1
classical performance,1
orchestra,1
classical,1406
classical era,1406
classical performance,761
orchestral performance,761
classical,893
classical performance,893
german orchestra,893
orchestra,893
british modern classical,940
classical,940
late romantic era,940
victorian britain,940
classic soundtrack,805
calypso,416
mento,416
classic bollywood,1195
filmi,1195
classic soundtrack,535
arab folk,142
classic arab pop,142
oud,142
syrian pop,142
classical,561
classical performance,561
orchestra,561
classic bollywood,914
filmi,914
ghazal,914
adult standards,709
easy listening,709
exotica,709
laboratorio,709
library music,709
lounge,709
classical performance,1044
orchestral performance,1044
bebop,1075
cool jazz,1075
hard bop,1075
jazz,1075
jazz fusion,1075
jazz piano,1075
stride,1075
vocal jazz,1075
appalachian folk,341
banjo,341
bluegrass,341
bluegrass gospel,341
old-time,341
progressive bluegrass,341
traditional country,341
traditional folk,341
bebop,405
big band,405
jazz,405
jazz drums,405
adult standards,1603
bebop,1603
cool jazz,1603
jazz,1603
jazz piano,1603
lounge,1603
stride,1603
swing,1603
vocal jazz,1603
american folk revival,397
appalachian folk,397
banjo,397
folk,397
folk rock,397
old-time,397
traditional folk,397
classical,1374
classical performance,1374
orchestral performance,1374
bebop,1611
cool jazz,1611
hard bop,1611
jazz,1611
jazz fusion,1611
american folk revival,667
blues,667
folk,667
spirituals,667
traditional blues,667
blues,1127
blues rock,1127
chicago blues,1127
classic rock,1127
electric blues,1127
soul,1127
traditional blues,1127
rhythm and blues,813
rock-and-roll,813
soul,813
southern soul,813
adult standards,684
brill building pop,684
piano rock,684
rock-and-roll,684
rockabilly,684
avant-garde jazz,85
bebop,85
big band,85
contemporary jazz,85
contemporary post-bop,85
cool jazz,85
free jazz,85
hard bop,85
japanese jazz,85
jazz,85
jazz funk,85
jazz fusion,85
jazz trumpet,85
soul jazz,85
adult standards,608
brill building pop,608
bubblegum pop,608
classic uk pop,608
europop,608
mellow gold,608
rock-and-roll,608
soft rock,608
bossa nova,275
brazilian jazz,275
jazz guitar,275
samba-jazz,275
violao,275
american modern classical,1366
easy listening,1366
space age pop,1366
adult standards,1372
brill building pop,1372
british invasion,1372
folk,1372
folk rock,1372
mellow gold,1372
