id,disc_number,duration,name,preview_url,track_number,popularity,is_playable
1,1,172133,Hy-Ah Su,https://p.scdn.co/mp3-preview/fc1d66811a5366903a7a4b7f9b24806d3df0edb0?cid=265ececd7a594f2daf93bc4496052326,5,0,NULL
10,1,125666,5ひきのこざる,https://p.scdn.co/mp3-preview/3ef144ec215e1d3c8ef1a0132e683d3b4bb544cd?cid=cd552680dec84110b29ddf95d645cbe8,14,1,NULL
100,1,293331,ハジマル,https://p.scdn.co/mp3-preview/694d08516f76d2b71fe3bd62f4f98847b5fadea5?cid=cd552680dec84110b29ddf95d645cbe8,1,3,NULL
1000,1,312173,Antes de Que Vuelvan,https://p.scdn.co/mp3-preview/3200bc63b72c7dfbacc1aa1ce026aee7f7109221?cid=cd552680dec84110b29ddf95d645cbe8,9,3,NULL
10000,1,304120,Red Moon,https://p.scdn.co/mp3-preview/8fc34bb53bb53255dca3def48ccfa46ce9d03c3d?cid=265ececd7a594f2daf93bc4496052326,1,2,NULL
10001,1,214400,Cuando Triste,NULL,10,31,NULL
10002,1,324466,Admiración,https://p.scdn.co/mp3-preview/551511b19ff7ddc09f5097f88c0a87346a288472?cid=cd552680dec84110b29ddf95d645cbe8,10,0,NULL
10003,1,144760,"La conga blicoti (From ""Midnight in Paris"")",NULL,1,0,NULL
10004,1,234346,One Man Board of Directors,https://p.scdn.co/mp3-preview/2aed68e7dfa15183398a797e761c3de6f805ae72?cid=265ececd7a594f2daf93bc4496052326,4,5,NULL
10005,1,61199,Loop 007 - Original Mix,https://p.scdn.co/mp3-preview/7c53d59e8f83bbe9ea43a31ccb28eb3f24413a15?cid=265ececd7a594f2daf93bc4496052326,9,0,NULL
10006,1,179382,Stop the Cavalry,https://p.scdn.co/mp3-preview/2d07504e343c6de9c3718a3e99d8c28df254392c?cid=265ececd7a594f2daf93bc4496052326,16,0,NULL
10007,1,318293,"Sonata for Violin & Cello, M. 73: III. Lent",https://p.scdn.co/mp3-preview/5b696eb98770d567a1d0f8932c21ec3b8f3af7bd?cid=cd552680dec84110b29ddf95d645cbe8,12,1,NULL
10008,1,331764,Play With Fire - Sharjah City Edit,https://p.scdn.co/mp3-preview/76da0da7c02f19c78539a7c3b1ab5639685a39e2?cid=cd552680dec84110b29ddf95d645cbe8,3,1,NULL
