music,os,gender,height,weight,shoe,month,color,pet,number,prob,math
hiphop,Linux/unix,man,1.74,80,45,dec,black,dog,19,0,9.5
rock,Windows + Linux,man,1.83,90,46,feb,orange,cat,7,5,
classical,MacOS,man,1.75,75,45,jun,blue,dog,17,8.5,8
hiphop,Windows,man,1.72,79,42,sep,green,dog,16,9.5,10
pop,Windows,man,1.69,55,40,jan,purple,cat,57,5,5
electronic,Windows,man,1.8,80,43,oct,green,,64,6,8.5
hiphop,Windows,man,1.75,70,43,sep,purple,dog,67,7,7
pop,Windows,man,1.94,84,49,apr,blue,dog,7,6,7.5
laika,Windows,man,1.92,85,45,aug,blue,dog,99,10,10
electronic,Windows,man,,,47.5,sep,green,cat,67,5,5.5
laika,Windows,man,1.67,76,42,aug,purple,dog,13,,7.5
rock,Windows,woman,,63,39,sep,blue,cat,88,0,5
metal,Windows,man,1.9,95,47,jun,white,dog,54,6.5,6.5
rock,Linux/unix,woman,1.68,57,41,apr,green,dog,12,8,7
folk,Windows,man,1.73,95,42,mar,purple,dog,21,6,6
electronic,MacOS,man,1.83,89,45,sep,green,dog,43,,5
rock,Windows,woman,1.67,57,39,mar,blue,cat,89,9,7.5
hiphop,Windows,woman,1.62,55,37,jul,red,dog,5,7.5,9.5
metal,Windows,other,1.93,111,50,jan,purple,cat,97,9,10
electronic,Windows,woman,1.63,56,39,dec,blue,dog,82,0,0
pop,Windows,woman,1.62,47,39,mar,purple,cat,54,6,7
electronic,Linux/unix,woman,1.82,,45,mar,black,dog,74,10,10
metal,Windows,woman,1.67,58,40,nov,red,elephant,66,6,5
jazz,Windows,man,1.68,59,39,oct,blue,cat,22,10,10
hiphop,Windows,woman,1.6,90,41,oct,black,cat,50,5,2
hiphop,Windows,woman,1.7,80,41,jul,black,cat,7,6.5,7.5
hiphop,Windows,man,1.63,80,42,jul,green,dog,46,6.5,5
hiphop,Windows,woman,1.62,80,36,oct,purple,dog,38,7,4
hiphop,Windows,man,1.8,86,44,oct,black,cat,21,5.5,10
laika,Windows,man,1.8,90,45,oct,black,dog,21,1,5
pop,Windows,woman,1.63,58,38.5,nov,red,dog,17,9,10
rock,MacOS,woman,1.57,48,37,jan,green,dog,92,10,9
pop,Windows,woman,1.64,58,40,jan,blue,dog,88,7.5,10
classical,Windows,man,1.75,80,44.5,nov,green,cat,48,6.5,8
rock,Windows,man,1.77,65,42.5,feb,purple,dog,12,7,6
laika,Windows,man,1.8,90,44,nov,blue,dog,63,7,0
hiphop,Windows,man,1.77,64,42,jan,blue,dog,59,10,10
rock,Windows,man,,,44.5,feb,black,cat,55,7,7.5
rock,Windows,woman,1.58,52,38,feb,green,cat,1,6,7.5
rock,Windows,man,1.78,94,45.5,may,blue,dog,28,0,5
pop,Windows,man,,,45.5,mar,white,cat,24,10,10
rock,Windows,woman,1.83,70,41,oct,yellow,cat,44,,9.5
hiphop,MacOS,woman,1.57,65,37,nov,red,cat,98,,
pop,Windows,man,1.85,85,45,sep,black,,33,6,9.5
classical,Linux/unix,man,1.73,71.5,42.5,mar,blue,dog,97,0,2
rock,Windows,man,1.77,73,44,sep,blue,dog,67,9,10
laika,Windows,man,1.87,85,45,dec,blue,dog,7,8.5,10
rock,Windows,man,1.79,87,44.5,oct,banana,goldfish,18,5,10
rock,MacOS,woman,1.66,53,37.5,aug,blue,dog,6,1.5,6.5
laika,Windows,man,1.9,77,45,jun,white,dog,69,8.5,9
electronic,MacOS,man,1.83,80,43,feb,green,dog,66,6.5,7
rock,Windows,man,1.93,108.5,46,may,blue,dog,69,5,6.5
pop,Windows,man,1.87,86,47.5,aug,orange,dog,87,10,8.5
jazz,Windows,woman,1.69,,36.5,jan,white,dog,3,6,7
metal,Windows,man,1.74,56,42,aug,black,,7,7,10
hiphop,MacOS,,1.77,67,43,apr,red,rabbit,7,8,9.5
laika,Windows,man,1.8,85,43,aug,yellow,dog,21,7.5,10
nomusic,Windows,man,1.7,66,42,dec,purple,cat,99,5,5.5
pop,Windows,woman,1.75,70,42,sep,purple,dog,20,7.5,6.5
laika,Windows,man,1.74,65,44,apr,green,cat,69,10,9
rock,Windows,man,1.71,86,41,jul,purple,dog,5,8,9
pop,Windows,man,1.82,85,43,nov,purple,cat,26,3,5.5
pop,Windows,woman,1.63,53,35.5,sep,black,cat,6,5,
electronic,Windows,woman,,60,39,feb,black,dog,99,6,8.5
pop,Windows,man,1.69,85,42,may,blue,dog,95,6.5,5.5
metal,Windows,man,1.74,83,43,jan,blue,,83,6,5.5
electronic,Linux/unix,man,1.8,70,42,mar,blue,cat,13,7.5,5
pop,Windows,woman,1.68,59,39,oct,purple,dog,21,3,3
rock,Windows,man,1.7,72,42,jul,black,horse,16,5,9.5
laika,Windows,man,1.9,115,47,jul,blue,dog,43,5,8
hiphop,Windows,man,1.82,67,42.5,jan,blue,dog,12,8,6.5
rock,Windows,man,1.87,70,44.5,jul,green,cat,27,10,10
laika,Windows,woman,1.78,70,42,may,purple,dog,3,6,6
hiphop,Windows,man,1.74,72,42.5,aug,red,dog,17,5,4
hiphop,Windows,man,1.8,,34,feb,blue,dog,22,8.5,6.5
laika,Windows,woman,1.59,54,38,dec,blue,dog,34,5,10
hiphop,Windows,woman,1.68,58,37.5,jun,black,dog,7,8.5,8
folk,Windows,man,,,43,jun,black,dog,7,9,8.5
laika,Linux/unix,man,1.75,83,44,sep,black,dog,71,8.5,5
hiphop,Windows,man,1.87,68,44,mar,blue,,27,8.5,10
classical,MacOS,man,1.75,76,45,jun,blue,cat,48,9,9
hiphop,MacOS,man,1.78,80,45,jun,red,dog,4,7,5
